i_type, w_type, o_type, M, K, N, has_bias, time(us), GPOS/s
NPU_INT8, NPU_INT8, NPU_INT8,2,24,56,0,29,0.185379
NPU_INT8, NPU_INT8, NPU_INT8,2,32,56,0,32,0.224
NPU_INT8, NPU_INT8, NPU_INT8,2,32,64,0,32,0.256
NPU_INT8, NPU_INT8, NPU_INT8,2,56,64,0,40,0.3584
NPU_INT8, NPU_INT8, NPU_INT8,2,56,72,0,42,0.384
NPU_INT8, NPU_INT8, NPU_INT8,2,64,72,0,44,0.418909
NPU_INT8, NPU_INT8, NPU_INT8,2,64,80,0,46,0.445217
NPU_INT8, NPU_INT8, NPU_INT8,2,72,80,0,48,0.48
NPU_INT8, NPU_INT8, NPU_INT8,2,72,128,0,55,0.670254
NPU_INT8, NPU_INT8, NPU_INT8,2,128,128,0,79,0.82957
NPU_INT8, NPU_INT8, NPU_INT8,2,128,152,0,86,0.90493
NPU_INT8, NPU_INT8, NPU_INT8,2,256,152,0,149,1.044618
NPU_INT8, NPU_INT8, NPU_INT8,2,256,256,0,115,2.279513
NPU_INT8, NPU_INT8, NPU_INT8,2,312,256,0,131,2.438839
NPU_INT8, NPU_INT8, NPU_INT8,2,312,312,0,156,2.496
NPU_INT8, NPU_INT8, NPU_INT8,2,368,368,0,254,2.132662
NPU_INT8, NPU_INT8, NPU_INT8,2,368,472,0,269,2.58284
NPU_INT8, NPU_INT8, NPU_INT8,2,472,472,0,375,2.376363
NPU_INT8, NPU_INT8, NPU_INT8,2,472,504,0,410,2.320858
NPU_INT8, NPU_INT8, NPU_INT8,2,512,504,0,397,2.59998
NPU_INT8, NPU_INT8, NPU_INT8,2,512,512,0,401,2.614902
NPU_INT8, NPU_INT8, NPU_INT8,4,8,8,0,34,0.015059
NPU_INT8, NPU_INT8, NPU_INT8,4,8,16,0,32,0.032
NPU_INT8, NPU_INT8, NPU_INT8,4,16,16,0,34,0.060235
NPU_INT8, NPU_INT8, NPU_INT8,4,16,32,0,34,0.120471
NPU_INT8, NPU_INT8, NPU_INT8,4,24,32,0,37,0.166054
NPU_INT8, NPU_INT8, NPU_INT8,4,24,56,0,38,0.282947
NPU_INT8, NPU_INT8, NPU_INT8,4,32,56,0,41,0.349659
NPU_INT8, NPU_INT8, NPU_INT8,4,32,64,0,41,0.39961
NPU_INT8, NPU_INT8, NPU_INT8,4,56,64,0,50,0.57344
NPU_INT8, NPU_INT8, NPU_INT8,4,56,72,0,51,0.632471
NPU_INT8, NPU_INT8, NPU_INT8,4,64,72,0,53,0.695547
NPU_INT8, NPU_INT8, NPU_INT8,4,64,80,0,55,0.744727
NPU_INT8, NPU_INT8, NPU_INT8,4,72,80,0,57,0.808421
NPU_INT8, NPU_INT8, NPU_INT8,4,72,128,0,64,1.152
NPU_INT8, NPU_INT8, NPU_INT8,4,128,128,0,89,1.472719
NPU_INT8, NPU_INT8, NPU_INT8,4,128,152,0,96,1.621333
NPU_INT8, NPU_INT8, NPU_INT8,4,256,152,0,165,1.886642
NPU_INT8, NPU_INT8, NPU_INT8,4,256,256,0,145,3.615779
NPU_INT8, NPU_INT8, NPU_INT8,4,312,256,0,163,3.920098
NPU_INT8, NPU_INT8, NPU_INT8,4,312,312,0,194,4.014185
NPU_INT8, NPU_INT8, NPU_INT8,4,368,368,0,307,3.528965
NPU_INT8, NPU_INT8, NPU_INT8,4,368,472,0,341,4.07498
NPU_INT8, NPU_INT8, NPU_INT8,4,472,472,0,465,3.832843
NPU_INT8, NPU_INT8, NPU_INT8,4,472,504,0,504,3.776
NPU_INT8, NPU_INT8, NPU_INT8,4,512,504,0,505,4.087889
NPU_INT8, NPU_INT8, NPU_INT8,4,512,512,0,510,4.112062
NPU_INT8, NPU_INT8, NPU_INT8,8,8,8,0,51,0.020078
NPU_INT8, NPU_INT8, NPU_INT8,8,8,16,0,49,0.041796
NPU_INT8, NPU_INT8, NPU_INT8,8,16,16,0,52,0.078769
NPU_INT8, NPU_INT8, NPU_INT8,8,16,32,0,53,0.154566
NPU_INT8, NPU_INT8, NPU_INT8,8,24,32,0,55,0.223418
NPU_INT8, NPU_INT8, NPU_INT8,8,24,56,0,57,0.377263
NPU_INT8, NPU_INT8, NPU_INT8,8,32,56,0,59,0.485966
NPU_INT8, NPU_INT8, NPU_INT8,8,32,64,0,61,0.53718
NPU_INT8, NPU_INT8, NPU_INT8,8,56,64,0,70,0.8192
NPU_INT8, NPU_INT8, NPU_INT8,8,56,72,0,70,0.9216
NPU_INT8, NPU_INT8, NPU_INT8,8,64,72,0,74,0.996324
NPU_INT8, NPU_INT8, NPU_INT8,8,64,80,0,75,1.092267
NPU_INT8, NPU_INT8, NPU_INT8,8,72,80,0,76,1.212632
NPU_INT8, NPU_INT8, NPU_INT8,8,72,128,0,83,1.776578
NPU_INT8, NPU_INT8, NPU_INT8,8,128,128,0,108,2.427259
NPU_INT8, NPU_INT8, NPU_INT8,8,128,152,0,115,2.706922
NPU_INT8, NPU_INT8, NPU_INT8,8,256,152,0,197,3.160366
NPU_INT8, NPU_INT8, NPU_INT8,8,256,256,0,208,5.04123
NPU_INT8, NPU_INT8, NPU_INT8,8,312,256,0,230,5.556313
NPU_INT8, NPU_INT8, NPU_INT8,8,312,312,0,271,5.747247
NPU_INT8, NPU_INT8, NPU_INT8,8,368,368,0,417,5.196125
NPU_INT8, NPU_INT8, NPU_INT8,8,368,472,0,481,5.77783
NPU_INT8, NPU_INT8, NPU_INT8,8,472,472,0,646,5.51787
NPU_INT8, NPU_INT8, NPU_INT8,8,472,504,0,696,5.468689
NPU_INT8, NPU_INT8, NPU_INT8,8,512,504,0,725,5.694853
NPU_INT8, NPU_INT8, NPU_INT8,8,512,512,0,728,5.761406
NPU_INT8, NPU_INT8, NPU_INT32,1,8,8,0,17,0.007529
NPU_INT8, NPU_INT8, NPU_INT32,1,8,16,0,16,0.016
NPU_INT8, NPU_INT8, NPU_INT32,1,16,16,0,18,0.028444
NPU_INT8, NPU_INT8, NPU_INT32,1,16,32,0,17,0.060235
NPU_INT8, NPU_INT8, NPU_INT32,1,24,32,0,19,0.080842
NPU_INT8, NPU_INT8, NPU_INT32,1,24,56,0,19,0.141474
NPU_INT8, NPU_INT8, NPU_INT32,1,32,56,0,21,0.170667
NPU_INT8, NPU_INT8, NPU_INT32,1,32,64,0,21,0.195048
NPU_INT8, NPU_INT8, NPU_INT32,1,56,64,0,26,0.275692
NPU_INT8, NPU_INT8, NPU_INT32,1,56,72,0,26,0.310154
NPU_INT8, NPU_INT8, NPU_INT32,1,64,72,0,29,0.317793
NPU_INT8, NPU_INT8, NPU_INT32,1,64,80,0,30,0.341333
NPU_INT8, NPU_INT8, NPU_INT32,1,72,80,0,32,0.36
NPU_INT8, NPU_INT8, NPU_INT32,1,72,128,0,34,0.542118
NPU_INT8, NPU_INT8, NPU_INT32,1,128,128,0,46,0.712348
NPU_INT8, NPU_INT8, NPU_INT32,1,128,152,0,50,0.77824
NPU_INT8, NPU_INT8, NPU_INT32,1,256,152,0,83,0.937639
NPU_INT8, NPU_INT8, NPU_INT32,1,256,256,0,99,1.32396
NPU_INT8, NPU_INT8, NPU_INT32,1,312,256,0,116,1.377103
NPU_INT8, NPU_INT8, NPU_INT32,1,312,312,0,137,1.42108
NPU_INT8, NPU_INT8, NPU_INT32,1,368,368,0,189,1.433058
NPU_INT8, NPU_INT8, NPU_INT32,1,368,472,0,237,1.465789
NPU_INT8, NPU_INT8, NPU_INT32,1,472,472,0,301,1.480292
NPU_INT8, NPU_INT8, NPU_INT32,1,472,504,0,320,1.4868
NPU_INT8, NPU_INT8, NPU_INT32,1,512,504,0,344,1.500279
NPU_INT8, NPU_INT8, NPU_INT32,1,512,512,0,348,1.506575
NPU_INT8, NPU_INT8, NPU_INT32,2,8,8,0,24,0.010667
NPU_INT8, NPU_INT8, NPU_INT32,2,8,16,0,23,0.022261
NPU_INT8, NPU_INT8, NPU_INT32,2,16,16,0,25,0.04096
NPU_INT8, NPU_INT8, NPU_INT32,2,16,32,0,26,0.078769
NPU_INT8, NPU_INT8, NPU_INT32,2,24,32,0,28,0.109714
NPU_INT8, NPU_INT8, NPU_INT32,2,24,56,0,30,0.1792
NPU_INT8, NPU_INT8, NPU_INT32,2,32,56,0,32,0.224
NPU_INT8, NPU_INT8, NPU_INT32,2,32,64,0,33,0.248242
NPU_INT8, NPU_INT8, NPU_INT32,2,56,64,0,41,0.349659
NPU_INT8, NPU_INT8, NPU_INT32,2,56,72,0,42,0.384
NPU_INT8, NPU_INT8, NPU_INT32,2,64,72,0,45,0.4096
NPU_INT8, NPU_INT8, NPU_INT32,2,64,80,0,46,0.445217
NPU_INT8, NPU_INT8, NPU_INT32,2,72,80,0,49,0.470204
NPU_INT8, NPU_INT8, NPU_INT32,2,72,128,0,56,0.658286
NPU_INT8, NPU_INT8, NPU_INT32,2,128,128,0,80,0.8192
NPU_INT8, NPU_INT8, NPU_INT32,2,128,152,0,86,0.90493
NPU_INT8, NPU_INT8, NPU_INT32,2,256,152,0,150,1.037653
NPU_INT8, NPU_INT8, NPU_INT32,2,256,256,0,117,2.240547
NPU_INT8, NPU_INT8, NPU_INT32,2,312,256,0,132,2.420363
NPU_INT8, NPU_INT8, NPU_INT32,2,312,312,0,156,2.496
NPU_INT8, NPU_INT8, NPU_INT32,2,368,368,0,255,2.124298
NPU_INT8, NPU_INT8, NPU_INT32,2,368,472,0,270,2.573274
NPU_INT8, NPU_INT8, NPU_INT32,2,472,472,0,376,2.370043
NPU_INT8, NPU_INT8, NPU_INT32,2,472,504,0,412,2.309592
NPU_INT8, NPU_INT8, NPU_INT32,2,512,504,0,399,2.586947
NPU_INT8, NPU_INT8, NPU_INT32,2,512,512,0,402,2.608398
NPU_INT8, NPU_INT8, NPU_INT32,4,8,8,0,33,0.015515
NPU_INT8, NPU_INT8, NPU_INT32,4,8,16,0,32,0.032
NPU_INT8, NPU_INT8, NPU_INT32,4,16,16,0,34,0.060235
NPU_INT8, NPU_INT8, NPU_INT32,4,16,32,0,36,0.113778
NPU_INT8, NPU_INT8, NPU_INT32,4,24,32,0,38,0.161684
NPU_INT8, NPU_INT8, NPU_INT32,4,24,56,0,38,0.282947
NPU_INT8, NPU_INT8, NPU_INT32,4,32,56,0,42,0.341333
NPU_INT8, NPU_INT8, NPU_INT32,4,32,64,0,44,0.372364
NPU_INT8, NPU_INT8, NPU_INT32,4,56,64,0,51,0.562196
NPU_INT8, NPU_INT8, NPU_INT32,4,56,72,0,52,0.620308
NPU_INT8, NPU_INT8, NPU_INT32,4,64,72,0,54,0.682667
NPU_INT8, NPU_INT8, NPU_INT32,4,64,80,0,55,0.744727
NPU_INT8, NPU_INT8, NPU_INT32,4,72,80,0,60,0.768
NPU_INT8, NPU_INT8, NPU_INT32,4,72,128,0,65,1.134277
NPU_INT8, NPU_INT8, NPU_INT32,4,128,128,0,90,1.456356
NPU_INT8, NPU_INT8, NPU_INT32,4,128,152,0,97,1.604619
NPU_INT8, NPU_INT8, NPU_INT32,4,256,152,0,165,1.886642
NPU_INT8, NPU_INT8, NPU_INT32,4,256,256,0,149,3.518711
NPU_INT8, NPU_INT8, NPU_INT32,4,312,256,0,164,3.896195
NPU_INT8, NPU_INT8, NPU_INT32,4,312,312,0,194,4.014185
NPU_INT8, NPU_INT8, NPU_INT32,4,368,368,0,309,3.506123
NPU_INT8, NPU_INT8, NPU_INT32,4,368,472,0,342,4.063065
NPU_INT8, NPU_INT8, NPU_INT32,4,472,472,0,466,3.824618
NPU_INT8, NPU_INT8, NPU_INT32,4,472,504,0,506,3.761075
NPU_INT8, NPU_INT8, NPU_INT32,4,512,504,0,508,4.063748
NPU_INT8, NPU_INT8, NPU_INT32,4,512,512,0,512,4.096
NPU_INT8, NPU_INT8, NPU_INT32,8,8,8,0,51,0.020078
NPU_INT8, NPU_INT8, NPU_INT32,8,8,16,0,51,0.040157
NPU_INT8, NPU_INT8, NPU_INT32,8,16,16,0,53,0.077283
NPU_INT8, NPU_INT8, NPU_INT32,8,16,32,0,54,0.151704
NPU_INT8, NPU_INT8, NPU_INT32,8,24,32,0,57,0.215579
NPU_INT8, NPU_INT8, NPU_INT32,8,24,56,0,59,0.364475
NPU_INT8, NPU_INT8, NPU_INT32,8,32,56,0,61,0.470033
NPU_INT8, NPU_INT8, NPU_INT32,8,32,64,0,62,0.528516
NPU_INT8, NPU_INT8, NPU_INT32,8,56,64,0,70,0.8192
NPU_INT8, NPU_INT8, NPU_INT32,8,56,72,0,72,0.896
NPU_INT8, NPU_INT8, NPU_INT32,8,64,72,0,74,0.996324
NPU_INT8, NPU_INT8, NPU_INT32,8,64,80,0,75,1.092267
NPU_INT8, NPU_INT8, NPU_INT32,8,72,80,0,78,1.181538
NPU_INT8, NPU_INT8, NPU_INT32,8,72,128,0,86,1.714605
NPU_INT8, NPU_INT8, NPU_INT32,8,128,128,0,110,2.383127
NPU_INT8, NPU_INT8, NPU_INT32,8,128,152,0,118,2.638102
NPU_INT8, NPU_INT8, NPU_INT32,8,256,152,0,197,3.160366
NPU_INT8, NPU_INT8, NPU_INT32,8,256,256,0,213,4.922892
NPU_INT8, NPU_INT8, NPU_INT32,8,312,256,0,230,5.556313
NPU_INT8, NPU_INT8, NPU_INT32,8,312,312,0,271,5.747247
NPU_INT8, NPU_INT8, NPU_INT32,8,368,368,0,417,5.196125
NPU_INT8, NPU_INT8, NPU_INT32,8,368,472,0,484,5.742017
NPU_INT8, NPU_INT8, NPU_INT32,8,472,472,0,645,5.526425
NPU_INT8, NPU_INT8, NPU_INT32,8,472,504,0,697,5.460844
NPU_INT8, NPU_INT8, NPU_INT32,8,512,504,0,727,5.679186
NPU_INT8, NPU_INT8, NPU_INT32,8,512,512,0,730,5.745622
NPU_INT8, NPU_INT8, NPU_INT32,1,8,8,1,25,0.00512
NPU_INT8, NPU_INT8, NPU_INT32,1,8,16,1,23,0.01113
NPU_INT8, NPU_INT8, NPU_INT32,1,16,16,1,25,0.02048
NPU_INT8, NPU_INT8, NPU_INT32,1,16,32,1,26,0.039385
NPU_INT8, NPU_INT8, NPU_INT32,1,24,32,1,26,0.059077
NPU_INT8, NPU_INT8, NPU_INT32,1,24,56,1,31,0.08671
NPU_INT8, NPU_INT8, NPU_INT32,1,32,56,1,31,0.115613
NPU_INT8, NPU_INT8, NPU_INT32,1,32,64,1,32,0.128
NPU_INT8, NPU_INT8, NPU_INT32,1,56,64,1,36,0.199111
NPU_INT8, NPU_INT8, NPU_INT32,1,56,72,1,38,0.212211
NPU_INT8, NPU_INT8, NPU_INT32,1,64,72,1,38,0.242526
NPU_INT8, NPU_INT8, NPU_INT32,1,64,80,1,40,0.256
NPU_INT8, NPU_INT8, NPU_INT32,1,72,80,1,41,0.280976
NPU_INT8, NPU_INT8, NPU_INT32,1,72,128,1,48,0.384
NPU_INT8, NPU_INT8, NPU_INT32,1,128,128,1,62,0.528516
NPU_INT8, NPU_INT8, NPU_INT32,1,128,152,1,67,0.580776
NPU_INT8, NPU_INT8, NPU_INT32,1,256,152,1,101,0.770535
NPU_INT8, NPU_INT8, NPU_INT32,1,256,256,1,128,1.024
NPU_INT8, NPU_INT8, NPU_INT32,1,312,256,1,143,1.117091
NPU_INT8, NPU_INT8, NPU_INT32,1,312,312,1,167,1.165796
NPU_INT8, NPU_INT8, NPU_INT32,1,368,368,1,227,1.193163
NPU_INT8, NPU_INT8, NPU_INT32,1,368,472,1,289,1.202049
NPU_INT8, NPU_INT8, NPU_INT32,1,472,472,1,358,1.244603
NPU_INT8, NPU_INT8, NPU_INT32,1,472,504,1,376,1.265362
NPU_INT8, NPU_INT8, NPU_INT32,1,512,504,1,407,1.268049
NPU_INT8, NPU_INT8, NPU_INT32,1,512,512,1,411,1.27564
NPU_INT8, NPU_INT8, NPU_INT32,2,8,8,1,33,0.007758
NPU_INT8, NPU_INT8, NPU_INT32,2,8,16,1,34,0.015059
NPU_INT8, NPU_INT8, NPU_INT32,2,16,16,1,35,0.029257
NPU_INT8, NPU_INT8, NPU_INT32,2,16,32,1,39,0.052513
NPU_INT8, NPU_INT8, NPU_INT32,2,24,32,1,41,0.074927
NPU_INT8, NPU_INT8, NPU_INT32,2,24,56,1,47,0.114383
NPU_INT8, NPU_INT8, NPU_INT32,2,32,56,1,49,0.146286
NPU_INT8, NPU_INT8, NPU_INT32,2,32,64,1,51,0.160627
NPU_INT8, NPU_INT8, NPU_INT32,2,56,64,1,59,0.242983
NPU_INT8, NPU_INT8, NPU_INT32,2,56,72,1,61,0.264393
NPU_INT8, NPU_INT8, NPU_INT32,2,64,72,1,64,0.288
NPU_INT8, NPU_INT8, NPU_INT32,2,64,80,1,67,0.305672
NPU_INT8, NPU_INT8, NPU_INT32,2,72,80,1,69,0.333913
NPU_INT8, NPU_INT8, NPU_INT32,2,72,128,1,84,0.438857
NPU_INT8, NPU_INT8, NPU_INT32,2,128,128,1,110,0.595782
NPU_INT8, NPU_INT8, NPU_INT32,2,128,152,1,117,0.665162
NPU_INT8, NPU_INT8, NPU_INT32,2,256,152,1,178,0.874427
NPU_INT8, NPU_INT8, NPU_INT32,2,256,256,1,165,1.588751
NPU_INT8, NPU_INT8, NPU_INT32,2,312,256,1,180,1.774933
NPU_INT8, NPU_INT8, NPU_INT32,2,312,312,1,208,1.872
NPU_INT8, NPU_INT8, NPU_INT32,2,368,368,1,320,1.6928
NPU_INT8, NPU_INT8, NPU_INT32,2,368,472,1,358,1.940737
NPU_INT8, NPU_INT8, NPU_INT32,2,472,472,1,464,1.920552
NPU_INT8, NPU_INT8, NPU_INT32,2,472,504,1,502,1.895522
NPU_INT8, NPU_INT8, NPU_INT32,2,512,504,1,497,2.076845
NPU_INT8, NPU_INT8, NPU_INT32,2,512,512,1,499,2.101355
NPU_INT8, NPU_INT8, NPU_INT32,4,8,8,1,49,0.010449
NPU_INT8, NPU_INT8, NPU_INT32,4,8,16,1,51,0.020078
NPU_INT8, NPU_INT8, NPU_INT32,4,16,16,1,54,0.037926
NPU_INT8, NPU_INT8, NPU_INT32,4,16,32,1,59,0.069424
NPU_INT8, NPU_INT8, NPU_INT32,4,24,32,1,61,0.100721
NPU_INT8, NPU_INT8, NPU_INT32,4,24,56,1,71,0.151437
NPU_INT8, NPU_INT8, NPU_INT32,4,32,56,1,73,0.196384
NPU_INT8, NPU_INT8, NPU_INT32,4,32,64,1,74,0.221405
NPU_INT8, NPU_INT8, NPU_INT32,4,56,64,1,83,0.345446
NPU_INT8, NPU_INT8, NPU_INT32,4,56,72,1,87,0.370759
NPU_INT8, NPU_INT8, NPU_INT32,4,64,72,1,90,0.4096
NPU_INT8, NPU_INT8, NPU_INT32,4,64,80,1,93,0.44043
NPU_INT8, NPU_INT8, NPU_INT32,4,72,80,1,95,0.485053
NPU_INT8, NPU_INT8, NPU_INT32,4,72,128,1,117,0.630154
NPU_INT8, NPU_INT8, NPU_INT32,4,128,128,1,141,0.929589
NPU_INT8, NPU_INT8, NPU_INT32,4,128,152,1,155,1.004181
NPU_INT8, NPU_INT8, NPU_INT32,4,256,152,1,214,1.454654
NPU_INT8, NPU_INT8, NPU_INT32,4,256,256,1,237,2.212185
NPU_INT8, NPU_INT8, NPU_INT32,4,312,256,1,252,2.535619
NPU_INT8, NPU_INT8, NPU_INT32,4,312,312,1,288,2.704
NPU_INT8, NPU_INT8, NPU_INT32,4,368,368,1,427,2.537218
NPU_INT8, NPU_INT8, NPU_INT32,4,368,472,1,495,2.807209
NPU_INT8, NPU_INT8, NPU_INT32,4,472,472,1,621,2.870003
NPU_INT8, NPU_INT8, NPU_INT32,4,472,504,1,665,2.86181
NPU_INT8, NPU_INT8, NPU_INT32,4,512,504,1,677,3.049312
NPU_INT8, NPU_INT8, NPU_INT32,4,512,512,1,678,3.093144
NPU_INT8, NPU_INT8, NPU_INT32,8,8,8,1,79,0.012962
NPU_INT8, NPU_INT8, NPU_INT32,8,8,16,1,83,0.024675
NPU_INT8, NPU_INT8, NPU_INT32,8,16,16,1,85,0.048188
NPU_INT8, NPU_INT8, NPU_INT32,8,16,32,1,97,0.084454
NPU_INT8, NPU_INT8, NPU_INT32,8,24,32,1,99,0.124121
NPU_INT8, NPU_INT8, NPU_INT32,8,24,56,1,115,0.186991
NPU_INT8, NPU_INT8, NPU_INT32,8,32,56,1,118,0.242983
NPU_INT8, NPU_INT8, NPU_INT32,8,32,64,1,124,0.264258
NPU_INT8, NPU_INT8, NPU_INT32,8,56,64,1,132,0.434424
NPU_INT8, NPU_INT8, NPU_INT32,8,56,72,1,136,0.474353
NPU_INT8, NPU_INT8, NPU_INT32,8,64,72,1,140,0.526629
NPU_INT8, NPU_INT8, NPU_INT32,8,64,80,1,148,0.553514
NPU_INT8, NPU_INT8, NPU_INT32,8,72,80,1,151,0.610331
NPU_INT8, NPU_INT8, NPU_INT32,8,72,128,1,186,0.792774
NPU_INT8, NPU_INT8, NPU_INT32,8,128,128,1,208,1.260308
NPU_INT8, NPU_INT8, NPU_INT32,8,128,152,1,231,1.347602
NPU_INT8, NPU_INT8, NPU_INT32,8,256,152,1,292,2.132164
NPU_INT8, NPU_INT8, NPU_INT32,8,256,256,1,380,2.75941
NPU_INT8, NPU_INT8, NPU_INT32,8,312,256,1,394,3.243533
NPU_INT8, NPU_INT8, NPU_INT32,8,312,312,1,450,3.46112
NPU_INT8, NPU_INT8, NPU_INT32,8,368,368,1,636,3.406893
NPU_INT8, NPU_INT8, NPU_INT32,8,368,472,1,772,3.599917
NPU_INT8, NPU_INT8, NPU_INT32,8,472,472,1,929,3.836969
NPU_INT8, NPU_INT8, NPU_INT32,8,472,504,1,984,3.868098
NPU_INT8, NPU_INT8, NPU_INT32,8,512,504,1,1035,3.989148
NPU_INT8, NPU_INT8, NPU_INT32,8,512,512,1,1044,4.017532
